id,author_id,text,topic
f780d7e2-2939-4eb3-a305-0a5644c64e4e,78132388,ill say new zealand theres whole lot less bullshit news programs people know,trump
895953da-58bf-42ba-acf7-a72fb089ae55,1527607127002464256,republicans voting yes included conference chair elise stefanik nrcc chair tom emmer mike garcia,trump
b9217a56-92ac-4297-8938-3f98d8ca21cd,703160410,corruption throughout treasonous trump reign terror insurrectionhasconsequences,trump
4b05cec3-348f-46e7-b8b3-61fd77f4973a,1313636616909488129,save date trial jean carrolls defamation lawsuit trump set begin feb federal,trump
d70edd00-c0be-4dab-a3c8-8861441b3358,1466840363092504578,sounds like one,trump
f879ac46-a863-45a9-b637-4bf9c0b914fd,1391303326277545984,absolutely clear americans ages gendersnationalitiesand incomes see corruption fake patriotism republican partythey must answer aiding abetting treasonous trump attack democracy,trump
a034cf04-767c-4068-a0da-708f346349df,214914209,always case media condemns manipulation republican efforts undo years previous manipulation party including nonvoting noncitizens process redistricting resulted overrepresentation democrats years,trump
acbe5e56-39ce-4edd-bec5-2ceccd224821,3220122937,sway voting base question insane things says,trump
5a2b9213-c7e0-4703-8de6-25a0c61c952f,256856593,usss plan failed coup assumed trump would remain president,trump
a259d5f9-42ba-431f-8b70-59c5e0c7d651,26188976,appear alive receive payment anything rest known occupying vampires,trump
1a949ee7-9b8c-44a5-8862-8fd95209385c,1542070089154891777,way assessment trump widespread around world,trump
42d08435-2e18-4a08-b05c-e5f9faf2fd65,1032312859718574080,care like trump think policies best america,trump
edec2ab4-303d-47b0-a408-442d8e41153b,62270598,republican primary poll donald trump ron desantis mike pence ted cruz nikki haley,trump
a0f9936c-1580-49f4-ad6e-66084f959355,2296374038,thread death ivana trump,trump
b3c66df6-0126-40ba-9ac2-e802fb254c37,713338984357695488,whole secret service text message debacle underscores much institutions corrupted trump,trump
121e379c-1f1a-4275-8606-43d12b1c968e,1519173106761441280,much worse trumo wrong every time unelected bureaucrat cannot fired ease,trump
3dbd05ee-35dc-4671-b082-35787ef95470,21729540,times still argued politics instead whether communist muslims taken venezuelan voting machines help italian space program,trump
63379a2c-ab85-464f-824f-985399410069,465193761,dear reminder youre federal law enforcement agency private police force donald,trump
ced724eb-d07e-40e1-9dc7-98a0ee875ddd,1463596014305165316,net negative sold countries,trump
9ef730c7-e993-4ffe-8f39-a896d9ccc04a,2174006165,believe team wiped phones prior end investigation claim unretrievable,trump
aaf0476f-feab-4449-b680-030907e6ecc4,1402801757550481409,real bombshell scamming senior citizens,trump
825b9ad8-c237-4933-98db-0b03243babf1,1296850715218935808,never,trump
45252476-d268-468f-89d8-15e905caa4f6,351559145,damn trump even broke fucking secret service,trump
5b897f92-2d5c-4abd-94b3-bb20f066324d,1525920930119266304,pardon,trump
bebbd08f-dd3f-49ba-baec-c53e47f91322,905530344,president veep better respond,trump
cb28b8ff-4189-4e4f-bc86-4aef95be7b85,739628371177541638,long live never understand many people willing destroy lives,trump
699a3099-3cc1-43d6-9e66-75195bed709c,3375493332,donald trump needs arrested asap greatest threat united states arrest accomplices,trump
df1aab6f-e3cd-444e-b92c-2c5874ac3895,1546540208962904064,fundraising text went ozs behalf didnt say text said basically falling behind fundraising meant maga movement dying attention grabbing fundraising text worded stupidly,trump
23b8320d-6f2a-4081-81d0-101f8f4f1042,1638225668,trump said,trump
81172836-0b16-46ed-961c-0f2ef01fc9d8,3010643511,entitled ass probably demand bottom hope put tangerine testicle laughingly top,trump
b5171a2e-d4cd-48bb-ba6e-3c8f5a6244f2,1478689148,thread boris departure remarks parliament today much runs parallel trump gop,trump
95777145-5260-44e1-a727-84461a01b6e1,779677452586975234,remember two fbi agents made one two remarks interpreted anti trump ruthlessly,trump
52da5828-74e6-42db-880a-8df881ddc99e,4100661015,would know live household perhaps bad neglectful parent,trump
f584cb00-8e99-40a1-80df-27762dc1abc1,1393570084736708609,everything say pulpit mega churchs white evangelicals way gqp fox nra survives influential voting bloc programmed believe distorted version reality jesus amp john wayne history book powerful,trump
85b8fc92-b499-4809-affa-7db7b61a8e1e,1524854841532567552,congressman gaetz ever asked former president donald trump pardon,trump
dd33cb01-d52b-4fc6-9fd8-1175b253ea3f,1024685035281178635,deborah birx often appeared front covid task force briefings behalf trump administration,trump
e72d7790-2d1d-43c3-bcb4-ce9674d2cade,2205839286,latinos trump president bianca gracia said white house tour christmas present groups leaders,trump
ce76c04d-704a-4dd7-8ef4-68ff534dd50f,2533415984,amen,trump
52411e42-62aa-4d68-9bd3-3cb3e55976c0,1234697091198275584,long live never understand many people willing destroy lives,trump
e4cb6a8f-a1aa-4f82-9d79-e27b8fbd2492,1210675431038504961,hu people hu others,trump
6178b41b-8270-4849-905e-566116d24d48,26144437,talking look deaths covid endemic stop alarmism,trump
85785fd8-4eba-46e9-8c5d-014d10f0304e,38639718,crime years trump admin delayed obstructed oversight investigation true,trump
4b403749-f826-4f7d-b0fe-f768603ea5be,731894507994775552,today good day indict former president insurrectionist donald john trump conspiracy,trump
59a7abde-b8ab-450b-a9ba-4556002be6f6,1242156117599358979,youre better vacuous clap back pple lost engage substantive arguments making narrow point iterations trump supporters aholes substantive argument perhaps think,trump
1d7b60f5-ad73-437a-b9e8-af43ea5a7497,25843801,merrick garland donald trump presidential candidate election two years away please,trump
e1917bf8-1e0b-4ca4-918f-1e05f66346c2,1513848654808846338,reality ntrgoesglobal,trump
